similarity,md5,filename,name,query_filename,query_name,query_md5,ani
0.21739900779588944,06e56b3a528143a4764ba6627ae827df,metagenomes/SRR5468153.sig,SRR5468153,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.9519655044950748
0.03384124734231042,c4e41141ac56bd330ceca28bfb67eb83,metagenomes/SRR6266338.sig,SRR6266338,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8965257871557221
0.010630758327427357,d4259c99ae9b930a11ac6959cb5edd1f,metagenomes/SRR5855413.sig,SRR5855413,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8636559753469424
0.0063784549964564135,bdcfad37e1ba78b28614dc9a2ce135ea,metagenomes/SRR5247052.sig,SRR5247052,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8495410537496993
0.005492558469170801,6cd613beba968388b089f68d52624174,metagenomes/SRR5855414.sig,SRR5855414,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8454530711829148
0.004429482636428065,9893857a8fdb655be19c29f9d24b34c2,metagenomes/SRR6048908.sig,SRR6048908,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8396067150393427
0.00407512402551382,58b983308fc9e3004b6b156c4995e23c,metagenomes/SRR5829599.sig,SRR5829599,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8373514346466947
0.002834868887313962,dd518fe5e0cc2866c8d138ee54325c47,metagenomes/SRR10953298.sig,SRR10953298,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8276060264369599
0.002657689581856839,ad3c63a40ae95b729e7e65dce1da7de0,metagenomes/SRR2952554.sig,SRR2952554,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.825884835849497
0.0019489723600283487,200187371b667eb7cbcc315c2ed12337,metagenomes/SRR5891573.sig,SRR5891573,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8176630579943264
0.0012402551381998582,71b89843077b0e0038d1c3950cd40791,metagenomes/ERR3588763.sig,ERR3588763,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8058278845170341
0.0012402551381998582,bf7b35f2710ca8b30c416028a35de058,metagenomes/SRR12473531.sig,SRR12473531,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8058278845170341
0.0010630758327427356,26be205fdbe28c2f992b0c8cef20b648,metagenomes/SRR7428116.sig,SRR7428116,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8018307689732539
0.0010630758327427356,4193d4e66508861c4dd8703c25c0ff66,metagenomes/ERR3192241.sig,ERR3192241,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.8018307689732539
0.0007087172218284905,a9fccd89737737dce69d1b95fffb8b27,metagenomes/SRR5459769.sig,SRR5459769,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.7914114957838032
0.0005315379163713678,b0b1fbd52a4b68b7c1c2d88b9974d781,metagenomes/SRR7528444.sig,SRR7528444,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.7841011170599698
0.0005315379163713678,8de488b91b9e7d2aae96552476d5b763,metagenomes/ERR1333181.sig,ERR1333181,BulkMat_35_Vanda_Ant.fa.gz,BulkMat_35_Vanda_Ant,3f9a80e7,0.7841011170599698
